cve_mun,anio_instalacion
21001,NA
21002,2017
21003,2019
21004,2017
21005,2018
21006,NA
21007,2021
21008,2019
21009,2019
21010,2020
21011,2018
21012,2022
21013,2022
21014,2022
21015,2019
21016,2022
21017,2018
21018,2019
21019,2020
21020,2021
21021,2022
21022,2018
21023,2022
21024,2017
21025,2018
21026,NA
21027,NA
21028,2018
21029,2021
21030,NA
21031,2020
21032,2018
21033,2019
21034,2022
21035,2022
21036,2017
21037,2017
21038,2017
21039,2017
21040,2018
21041,2021
21042,2020
21043,2021
21044,2021
21045,2019
21046,2017
21047,2017
21048,2018
21049,2021
21050,2020
21051,2021
21052,NA
21053,2022
21054,NA
21055,2018
21056,2020
21057,2018
21058,2020
21059,2019
21060,2018
21061,2021
21062,2018
21063,2017
21064,2021
21065,2021
21066,2022
21067,2020
21068,2020
21069,2021
21070,2018
21071,2018
21072,2019
21073,2019
21074,2018
21075,NA
21076,2021
21077,2018
21078,NA
21079,2022
21080,NA
21081,2019
21082,NA
21083,NA
21084,2021
21085,2021
21086,2017
21087,2022
21088,2021
21089,2022
21090,2021
21091,2017
21092,2021
21093,2020
21094,2021
21095,2022
21096,2018
21097,2018
21098,2022
21099,2018
21100,2017
21101,NA
21102,2017
21103,2022
21104,2020
21105,2022
21106,2017
21107,2022
21108,2019
21109,2017
21110,2019
21111,2019
21112,2017
21113,NA
21114,2022
21115,2019
21116,2018
21117,2019
21118,2021
21119,2017
21120,NA
21121,2019
21122,2018
21123,2017
21124,2020
21125,2020
21126,2022
21127,NA
21128,2019
21129,2019
21130,2021
21131,2020
21132,2017
21133,2018
21134,2020
21135,2022
21136,2017
21137,2017
21138,2022
21139,2018
21140,2020
21141,2021
21142,2018
21143,2019
21144,2021
21145,2022
21146,2019
21147,2018
21148,2020
21149,2022
21150,2022
21151,2018
21152,2017
21153,2018
21154,2019
21155,2018
21156,2019
21157,NA
21158,2019
21159,2020
21160,2019
21161,2021
21162,2017
21163,2020
21164,2022
21165,NA
21166,2021
21167,2017
21168,2020
21169,2019
21170,2019
21171,2020
21172,NA
21173,2022
21174,2017
21175,2018
21176,2021
21177,NA
21178,2017
21179,2020
21180,NA
21181,2022
21182,2019
21183,NA
21184,2021
21185,2018
21186,2022
21187,2018
21188,2018
21189,NA
21190,2020
21191,NA
21192,2020
21193,2021
21194,2021
21195,NA
21196,2017
21197,2019
21198,2022
21199,2018
21200,2018
21201,NA
21202,2020
21203,2022
21204,2019
21205,2017
21206,2021
21207,2019
21208,2019
21209,2019
21210,2022
21211,2020
21212,2018
21213,2020
21214,2019
21215,NA
21216,2022
21217,2018
