municipio,cve_mun,anio,feminicidios,estado
21001,21001,2015,0,Puebla
21001,21001,2016,0,Puebla
21001,21001,2017,1,Puebla
21001,21001,2018,0,Puebla
21001,21001,2019,0,Puebla
21001,21001,2020,2,Puebla
21001,21001,2021,1,Puebla
21001,21001,2022,1,Puebla
21001,21001,2023,1,Puebla
21001,21001,2024,0,Puebla
21001,21001,2025,0,Puebla
21002,21002,2015,0,Puebla
21002,21002,2016,0,Puebla
21002,21002,2017,0,Puebla
21002,21002,2018,0,Puebla
21002,21002,2019,0,Puebla
21002,21002,2020,0,Puebla
21002,21002,2021,0,Puebla
21002,21002,2022,0,Puebla
21002,21002,2023,1,Puebla
21002,21002,2024,0,Puebla
21002,21002,2025,0,Puebla
21003,21003,2015,0,Puebla
21003,21003,2016,0,Puebla
21003,21003,2017,1,Puebla
21003,21003,2018,1,Puebla
21003,21003,2019,0,Puebla
21003,21003,2020,1,Puebla
21003,21003,2021,0,Puebla
21003,21003,2022,0,Puebla
21003,21003,2023,1,Puebla
21003,21003,2024,1,Puebla
21003,21003,2025,0,Puebla
21004,21004,2015,0,Puebla
21004,21004,2016,0,Puebla
21004,21004,2017,0,Puebla
21004,21004,2018,1,Puebla
21004,21004,2019,0,Puebla
21004,21004,2020,0,Puebla
21004,21004,2021,0,Puebla
21004,21004,2022,0,Puebla
21004,21004,2023,2,Puebla
21004,21004,2024,0,Puebla
21004,21004,2025,2,Puebla
21005,21005,2015,0,Puebla
21005,21005,2016,0,Puebla
21005,21005,2017,0,Puebla
21005,21005,2018,0,Puebla
21005,21005,2019,0,Puebla
21005,21005,2020,0,Puebla
21005,21005,2021,0,Puebla
21005,21005,2022,0,Puebla
21005,21005,2023,0,Puebla
21005,21005,2024,0,Puebla
21005,21005,2025,0,Puebla
21006,21006,2015,0,Puebla
21006,21006,2016,0,Puebla
21006,21006,2017,0,Puebla
21006,21006,2018,0,Puebla
21006,21006,2019,0,Puebla
21006,21006,2020,0,Puebla
21006,21006,2021,0,Puebla
21006,21006,2022,0,Puebla
21006,21006,2023,0,Puebla
21006,21006,2024,0,Puebla
21006,21006,2025,0,Puebla
21007,21007,2015,0,Puebla
21007,21007,2016,0,Puebla
21007,21007,2017,0,Puebla
21007,21007,2018,0,Puebla
21007,21007,2019,0,Puebla
21007,21007,2020,0,Puebla
21007,21007,2021,0,Puebla
21007,21007,2022,0,Puebla
21007,21007,2023,0,Puebla
21007,21007,2024,0,Puebla
21007,21007,2025,0,Puebla
21008,21008,2015,0,Puebla
21008,21008,2016,0,Puebla
21008,21008,2017,0,Puebla
21008,21008,2018,0,Puebla
21008,21008,2019,0,Puebla
21008,21008,2020,1,Puebla
21008,21008,2021,0,Puebla
21008,21008,2022,0,Puebla
21008,21008,2023,0,Puebla
21008,21008,2024,0,Puebla
21008,21008,2025,0,Puebla
21009,21009,2015,0,Puebla
21009,21009,2016,0,Puebla
21009,21009,2017,0,Puebla
21009,21009,2018,0,Puebla
21009,21009,2019,0,Puebla
21009,21009,2020,0,Puebla
21009,21009,2021,0,Puebla
21009,21009,2022,0,Puebla
21009,21009,2023,0,Puebla
21009,21009,2024,0,Puebla
21009,21009,2025,0,Puebla
21010,21010,2015,0,Puebla
21010,21010,2016,0,Puebla
21010,21010,2017,0,Puebla
21010,21010,2018,0,Puebla
21010,21010,2019,0,Puebla
21010,21010,2020,0,Puebla
21010,21010,2021,0,Puebla
21010,21010,2022,0,Puebla
21010,21010,2023,0,Puebla
21010,21010,2024,0,Puebla
21010,21010,2025,0,Puebla
21011,21011,2015,0,Puebla
21011,21011,2016,0,Puebla
21011,21011,2017,0,Puebla
21011,21011,2018,0,Puebla
21011,21011,2019,0,Puebla
21011,21011,2020,0,Puebla
21011,21011,2021,0,Puebla
21011,21011,2022,0,Puebla
21011,21011,2023,0,Puebla
21011,21011,2024,0,Puebla
21011,21011,2025,0,Puebla
21012,21012,2015,0,Puebla
21012,21012,2016,0,Puebla
21012,21012,2017,0,Puebla
21012,21012,2018,0,Puebla
21012,21012,2019,0,Puebla
21012,21012,2020,0,Puebla
21012,21012,2021,0,Puebla
21012,21012,2022,0,Puebla
21012,21012,2023,0,Puebla
21012,21012,2024,0,Puebla
21012,21012,2025,0,Puebla
21013,21013,2015,0,Puebla
