municipio,cve_mun,estado,anio,feminicidios,municipio_texto,mun_id_nombre
Acajete,21001,Puebla,2015,0,Acajete,21001 – Acajete
Acajete,21001,Puebla,2016,0,Acajete,21001 – Acajete
Acajete,21001,Puebla,2017,1,Acajete,21001 – Acajete
Acajete,21001,Puebla,2018,0,Acajete,21001 – Acajete
Acajete,21001,Puebla,2019,0,Acajete,21001 – Acajete
Acajete,21001,Puebla,2020,2,Acajete,21001 – Acajete
Acajete,21001,Puebla,2021,1,Acajete,21001 – Acajete
Acajete,21001,Puebla,2022,1,Acajete,21001 – Acajete
Acajete,21001,Puebla,2023,1,Acajete,21001 – Acajete
Acajete,21001,Puebla,2024,0,Acajete,21001 – Acajete
Acajete,21001,Puebla,2025,0,Acajete,21001 – Acajete
Acateno,21002,Puebla,2015,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2016,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2017,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2018,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2019,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2020,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2021,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2022,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2023,1,Acateno,21002 – Acateno
Acateno,21002,Puebla,2024,0,Acateno,21002 – Acateno
Acateno,21002,Puebla,2025,0,Acateno,21002 – Acateno
Acatlán,21003,Puebla,2015,0,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2016,0,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2017,1,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2018,1,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2019,0,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2020,1,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2021,0,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2022,0,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2023,1,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2024,1,Acatlán,21003 – Acatlán
Acatlán,21003,Puebla,2025,0,Acatlán,21003 – Acatlán
Acatzingo,21004,Puebla,2015,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2016,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2017,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2018,1,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2019,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2020,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2021,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2022,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2023,2,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2024,0,Acatzingo,21004 – Acatzingo
Acatzingo,21004,Puebla,2025,2,Acatzingo,21004 – Acatzingo
Acteopan,21005,Puebla,2015,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2016,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2017,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2018,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2019,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2020,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2021,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2022,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2023,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2024,0,Acteopan,21005 – Acteopan
Acteopan,21005,Puebla,2025,0,Acteopan,21005 – Acteopan
Ahuacatlán,21006,Puebla,2015,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2016,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2017,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2018,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2019,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2020,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2021,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2022,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2023,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2024,0,Ahuacatlán,21006 – Ahuacatlán
Ahuacatlán,21006,Puebla,2025,0,Ahuacatlán,21006 – Ahuacatlán
Ahuatlán,21007,Puebla,2015,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2016,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2017,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2018,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2019,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2020,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2021,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2022,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2023,0,Ahuatlán,21007 – Ahuatlán
Ahuatlán,21007,Puebla,2024,0,Ahuatlán,21007 – Ahuatlán
