municipio,cve_mun,estado,anio,feminicidios,tasa_fem_100k,municipio_texto,mun_id_nombre,pobfem_2020,pobtot_2020
Acajete,21001,Puebla,2015,0,0,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2016,0,0,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2017,1,1.3243279035889286,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2018,0,0,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2019,0,0,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2020,2,2.648655807177857,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2021,1,1.3243279035889286,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2022,1,1.3243279035889286,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2023,1,1.3243279035889286,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2024,0,0,Acajete,21001 – Acajete,75510,145849
Acajete,21001,Puebla,2025,0,0,Acajete,21001 – Acajete,75510,145849
Acateno,21002,Puebla,2015,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2016,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2017,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2018,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2019,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2020,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2021,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2022,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2023,1,10.907504363001745,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2024,0,0,Acateno,21002 – Acateno,9168,18442
Acateno,21002,Puebla,2025,0,0,Acateno,21002 – Acateno,9168,18442
Acatlã¡N,21003,Puebla,2015,0,0,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2016,0,0,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2017,1,2.4852129827526217,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2018,1,2.4852129827526217,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2019,0,0,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2020,1,2.4852129827526217,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2021,0,0,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2022,0,0,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2023,1,2.4852129827526217,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2024,1,2.4852129827526217,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatlã¡N,21003,Puebla,2025,0,0,Acatlã¡N,21003 – Acatlã¡N,40238,75955
Acatzingo,21004,Puebla,2015,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2016,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2017,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2018,1,1.5234613040828764,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2019,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2020,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2021,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2022,0,0,Acatzingo,21004 – Acatzingo,65640,127606
Acatzingo,21004,Puebla,2023,2,3.0469226081657528,Acatzingo,21004 – Acatzingo,65640,127606
