cve_mun,anio,municipio.x,feminicidios,municipio.y,tasa_fem_100k,pib_pc,log_pib_pc
21001,2015,21001,0,21001,NA,NA,NA
21001,2016,21001,0,21001,NA,NA,NA
21001,2017,21001,1,21001,NA,NA,NA
21001,2018,21001,0,21001,NA,NA,NA
21001,2019,21001,0,21001,NA,NA,NA
21001,2020,21001,2,21001,NA,NA,NA
21001,2021,21001,1,21001,NA,NA,NA
21001,2022,21001,1,21001,NA,NA,NA
21001,2023,21001,1,21001,NA,NA,NA
21001,2024,21001,0,21001,NA,NA,NA
21001,2025,21001,0,21001,NA,NA,NA
21002,2015,21002,0,21002,NA,NA,NA
21002,2016,21002,0,21002,NA,NA,NA
21002,2017,21002,0,21002,NA,NA,NA
21002,2018,21002,0,21002,NA,NA,NA
21002,2019,21002,0,21002,NA,NA,NA
21002,2020,21002,0,21002,NA,NA,NA
21002,2021,21002,0,21002,NA,NA,NA
21002,2022,21002,0,21002,NA,NA,NA
21002,2023,21002,1,21002,NA,NA,NA
21002,2024,21002,0,21002,NA,NA,NA
21002,2025,21002,0,21002,NA,NA,NA
21003,2015,21003,0,21003,NA,NA,NA
21003,2016,21003,0,21003,NA,NA,NA
21003,2017,21003,1,21003,NA,NA,NA
21003,2018,21003,1,21003,NA,NA,NA
21003,2019,21003,0,21003,NA,NA,NA
21003,2020,21003,1,21003,NA,NA,NA
21003,2021,21003,0,21003,NA,NA,NA
21003,2022,21003,0,21003,NA,NA,NA
21003,2023,21003,1,21003,NA,NA,NA
21003,2024,21003,1,21003,NA,NA,NA
21003,2025,21003,0,21003,NA,NA,NA
21004,2015,21004,0,21004,NA,NA,NA
21004,2016,21004,0,21004,NA,NA,NA
21004,2017,21004,0,21004,NA,NA,NA
21004,2018,21004,1,21004,NA,NA,NA
21004,2019,21004,0,21004,NA,NA,NA
21004,2020,21004,0,21004,NA,NA,NA
21004,2021,21004,0,21004,NA,NA,NA
21004,2022,21004,0,21004,NA,NA,NA
21004,2023,21004,2,21004,NA,NA,NA
21004,2024,21004,0,21004,NA,NA,NA
21004,2025,21004,2,21004,NA,NA,NA
21005,2015,21005,0,21005,NA,NA,NA
21005,2016,21005,0,21005,NA,NA,NA
21005,2017,21005,0,21005,NA,NA,NA
21005,2018,21005,0,21005,NA,NA,NA
21005,2019,21005,0,21005,NA,NA,NA
21005,2020,21005,0,21005,NA,NA,NA
21005,2021,21005,0,21005,NA,NA,NA
21005,2022,21005,0,21005,NA,NA,NA
21005,2023,21005,0,21005,NA,NA,NA
21005,2024,21005,0,21005,NA,NA,NA
21005,2025,21005,0,21005,NA,NA,NA
21006,2015,21006,0,21006,NA,NA,NA
21006,2016,21006,0,21006,NA,NA,NA
